600256-002202,-0.038316,2.128147,0.081221,:,1.436509,0.064458,2.299907,False
600256-002353,-0.192672,2.878694,0.079220,:,1.583791,0.085708,2.025329,False
600449-600256,1.147416,-0.340408,0.084703,:,1.592380,0.187496,2.033877,True
600256-600089,0.320601,1.319680,0.070119,:,1.556734,0.041220,2.279266,False
600256-600197,0.091131,1.831339,0.080635,:,1.455078,0.072295,2.213760,False
600739-600256,0.906269,0.889417,0.064375,:,1.655711,0.081321,2.241801,True
601857-600256,2.203566,-2.469165,0.175021,:,1.460947,0.037660,2.216100,False
600256-002267,0.220941,1.540953,0.077461,:,1.444684,0.095467,2.159568,False
000625-000550,0.711368,0.083881,0.039604,:,1.561139,0.056784,4.230863,False
000625-000012,0.085745,2.177469,0.056243,:,1.666960,0.052390,2.996013,False
601238-000625,-0.074134,2.217351,0.042152,:,1.622443,0.037741,3.385917,False
000625-000028,0.275001,1.276457,0.054807,:,1.594537,0.075672,3.040970,False
002594-000625,-0.284898,4.452256,0.138276,:,1.581728,0.233355,2.174362,False
600478-000625,1.011858,0.833087,0.037853,:,1.573528,0.052358,3.378148,False
002340-000625,-0.431469,3.376840,0.059334,:,1.581182,0.120835,2.616262,False
600366-000625,-0.288408,3.344178,0.089327,:,1.406183,0.249622,2.066447,False
000625-000049,1.196654,-2.676824,0.064097,:,1.553712,0.043873,3.356644,False
600522-000625,-0.384108,3.374221,0.085739,:,1.403513,0.089258,2.221350,False
600770-000625,-0.194963,2.801674,0.132574,:,1.508783,0.109866,2.169086,False
000625-000596,1.236776,-1.489766,0.065861,:,1.631435,0.051087,2.335303,False
601633-000625,0.520537,2.349105,0.071970,:,1.664718,0.022879,2.462941,True
000625-000581,0.984412,-0.900281,0.030279,:,1.640287,0.047791,3.949974,True
600066-000625,0.398437,1.955300,0.041803,:,1.668903,0.032443,2.733249,False
600674-000625,0.252052,1.768504,0.026162,:,1.580607,0.033042,2.525642,False
002011-000625,-0.309596,2.884308,0.041130,:,1.558016,0.097057,3.938212,False
000800-000625,0.230202,1.813211,0.051977,:,1.481348,0.046916,2.437924,False
600741-000625,-0.218428,2.731061,0.039498,:,1.839142,0.036045,4.424681,False
600835-000625,-0.024373,3.033949,0.132207,:,1.582604,0.027718,2.317654,False
002091-000625,-0.208492,3.142008,0.149718,:,1.505244,0.024864,2.021509,False
000970-000625,-0.276798,3.260331,0.071375,:,1.482631,0.078757,2.383829,False
600104-000625,1.185584,-0.218258,0.058385,:,1.565975,0.128545,2.682410,False
600801-000625,0.927120,0.193719,0.037321,:,1.510557,0.120439,3.025495,False
600967-600495,0.486732,1.663894,0.028520,:,1.713744,0.051820,3.220891,False
600967-600406,-1.016818,5.702151,0.077934,:,1.489893,0.048234,2.565977,False
