600887-002570,1.085015,-0.058793,0.042876,:,1.672303,0.038870,3.368379,True
000826-000625,0.250846,2.926547,0.023281,:,1.739525,0.045571,2.943239,False
002378-000826,0.360704,1.628162,0.029236,:,1.530194,0.040655,2.764867,False
601139-000826,0.402166,0.694221,0.022485,:,1.868874,0.042624,3.289522,False
000826-000012,1.075786,1.212313,0.037073,:,1.769646,0.076652,2.733508,False
002155-000826,0.224123,1.313117,0.060673,:,1.433846,0.179240,3.421494,True
600008-000826,0.419576,0.484478,0.029891,:,1.749284,0.121664,2.472642,False
600108-000826,0.277092,1.196354,0.050704,:,1.686533,0.083727,3.190103,True
601388-000826,0.348791,1.034174,0.030610,:,1.631486,0.035151,2.431787,False
000826-000338,0.907408,0.842968,0.031773,:,1.705934,0.084512,2.895971,False
002594-000826,0.081628,3.324053,0.028636,:,1.600176,0.053423,2.819410,False
600478-000826,0.124310,2.793108,0.047369,:,1.572393,0.047830,2.634112,False
300090-000826,0.063464,3.268374,0.049743,:,1.594088,0.028146,2.731920,False
002340-000826,0.394179,0.914979,0.020326,:,1.579753,0.057732,3.215181,False
000915-000826,0.097239,3.033430,0.038085,:,1.661032,0.046438,4.025155,False
600209-000826,0.200479,1.621169,0.052186,:,1.658452,0.033559,2.854278,False
000826-000049,0.070823,3.250487,0.022134,:,1.750814,0.056006,2.958293,False
600770-000826,0.168582,1.455256,0.051122,:,1.611116,0.076246,2.625375,False
601038-000826,0.260712,1.371564,0.048851,:,1.329201,0.043014,3.933086,False
600690-000826,0.011241,2.820376,0.093133,:,1.585303,0.093236,2.205227,False
600649-000826,0.208027,1.453921,0.062988,:,1.484113,0.083176,2.509055,False
000826-000581,0.072433,3.302541,0.022155,:,1.740481,0.045886,2.965103,False
002011-000826,0.163169,1.589993,0.027998,:,1.677168,0.055454,3.228826,False
600674-000826,0.116650,2.040134,0.020910,:,1.543592,0.096012,4.539207,False
600060-000826,0.398903,1.047487,0.024764,:,1.703460,0.036596,4.295975,False
600066-000826,-0.039799,2.973761,0.053763,:,1.386119,0.133362,2.065193,False
002310-000826,0.475030,1.828573,0.025763,:,1.508457,0.065434,2.917421,True
000970-000826,0.262996,1.676945,0.038020,:,1.601941,0.073843,2.546031,False
600104-000826,0.284782,1.691348,0.042029,:,1.608173,0.096818,2.555453,False
000826-000651,0.056067,3.351064,0.021935,:,1.754135,0.047673,2.972986,False
600801-000826,0.151574,1.966863,0.039517,:,1.964066,0.081026,3.275832,False
600585-000826,0.096388,2.481134,0.062104,:,1.638121,0.024804,2.437884,False
600874-000826,0.370055,0.834916,0.027703,:,1.715460,0.037622,3.158989,False
600481-000826,0.102475,2.018466,0.057779,:,1.630499,0.045551,2.886187,False
601139-600256,3.099477,-5.106213,0.309973,:,1.403264,0.421849,2.075154,False
600720-600256,-0.141700,2.281541,0.053914,:,1.772437,0.025601,3.465047,False
600256-002202,-0.040831,2.417144,0.105672,:,1.476230,0.386629,2.113040,False
600256-000731,-0.226846,2.838290,0.100607,:,1.433105,0.277643,2.226740,False
600256-002353,0.064484,2.052278,0.105407,:,1.469487,0.389568,2.047762,False
600256-600089,0.513640,1.094259,0.079529,:,1.425595,0.336446,2.232467,False
600449-600256,-0.256414,2.666624,0.039725,:,1.684774,0.076601,2.619630,False
600256-600197,0.097413,2.096288,0.104856,:,1.444967,0.393306,2.067358,False
600739-600256,1.181561,0.143875,0.109657,:,1.495894,0.075188,2.094115,True
